date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:28	1484/1484	---MCZ	404	error ('Not%20Found')	text/html	etag:1707067443-ssl-df	https://scientica24.netlify.app/robots.txt		(from )
11:34:28	45779/45779	---MCZ	200	added ('OK')	text/html	etag:%223da1e32b3d4b10e44aafcb449ed74c24-ssl-df%22	https://scientica24.netlify.app/	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/index.html	(from )
11:34:29	13368/13368	---M--	200	added ('OK')	image/png	etag:%22415522301cbe4c22b7884470293d5c45-ssl%22	https://scientica24.netlify.app/imgs/favi.png	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/favi.png	(from https://scientica24.netlify.app/)
11:34:30	34979/34979	---MCZ	200	added ('OK')	text/css	etag:%2267700e95be29120bc6c378f026744904-ssl-df%22	https://scientica24.netlify.app/style.css	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/style.css	(from https://scientica24.netlify.app/)
11:34:31	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1707067443-ssl-df	https://scientica24.netlify.app/flipclock.css	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/flipclock.2.delayed	(from https://scientica24.netlify.app/)
11:34:32	13165/13165	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2004%20Aug%202024%2006:04:31%20GMT	https://kit.fontawesome.com/bb5440d141.js	C:/My%20Web%20Sites/adiweb/kit.fontawesome.com/bb5440d141.js	(from https://scientica24.netlify.app/)
11:34:34	22831/22831	---M--	200	added ('OK')	image/jpeg	etag:%22178268fdd6e0e45fbed0891a72cdfe87-ssl%22	https://scientica24.netlify.app/imgs/evnts/ev1.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/evnts/ev1.jpg	(from https://scientica24.netlify.app/)
11:34:36	24404/24404	---M--	200	added ('OK')	image/jpeg	etag:%2255d0aa36b97c44c8dd6e8790fd5f59f2-ssl%22	https://scientica24.netlify.app/imgs/evnts/ev2.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/evnts/ev2.jpg	(from https://scientica24.netlify.app/)
11:34:37	23488/23488	---M--	200	added ('OK')	image/jpeg	etag:%22701c22b49b2819e7bbf8f20eef28648f-ssl%22	https://scientica24.netlify.app/imgs/evnts/ev3.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/evnts/ev3.jpg	(from https://scientica24.netlify.app/)
11:34:39	23362/23362	---M--	200	added ('OK')	image/jpeg	etag:%228df831b1e0982c44ca2ee514dd24bf4b-ssl%22	https://scientica24.netlify.app/imgs/evnts/ev4.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/evnts/ev4.jpg	(from https://scientica24.netlify.app/)
11:34:40	22162/22162	---M--	200	added ('OK')	image/jpeg	etag:%220a3e49ec89bd66f80dc089389c88c30e-ssl%22	https://scientica24.netlify.app/imgs/evnts/ev5.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/evnts/ev5.jpg	(from https://scientica24.netlify.app/)
11:34:41	15362/15362	---M--	200	added ('OK')	image/jpeg	etag:%2229ad21cc9eafe4d25ecca99487ba6daf-ssl%22	https://scientica24.netlify.app/imgs/evnts/ev6.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/evnts/ev6.jpg	(from https://scientica24.netlify.app/)
11:34:42	14900/14900	---M--	200	added ('OK')	image/jpeg	etag:%221eb3557b5e5d163c527588e7337d3566-ssl%22	https://scientica24.netlify.app/imgs/evnts/ev7.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/evnts/ev7.jpg	(from https://scientica24.netlify.app/)
11:34:43	18758/18758	---M--	200	added ('OK')	image/jpeg	etag:%2238aad0328ad115c901154ec3f047545f-ssl%22	https://scientica24.netlify.app/imgs/evnts/ev8.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/evnts/ev8.jpg	(from https://scientica24.netlify.app/)
11:34:44	4007330/4007330	---MCZ	200	added ('OK')	application/pdf	etag:%227a5d18e3d01b54e6333484d9313d4f31-ssl-df%22	https://scientica24.netlify.app/Scientica24.pdf	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/Scientica24.pdf	(from https://scientica24.netlify.app/)
11:34:44	15906/15906	---M--	200	added ('OK')	image/jpeg	etag:%22f5fe7f54be1e9db36eb53d17b06cdd7b-ssl%22	https://scientica24.netlify.app/imgs/evnts/ev9.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/evnts/ev9.jpg	(from https://scientica24.netlify.app/)
11:34:45	17090/17090	---M--	200	added ('OK')	image/jpeg	etag:%220846adb9aa082435744828d1f56b93b5-ssl%22	https://scientica24.netlify.app/imgs/evnts/ev10.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/evnts/ev10.jpg	(from https://scientica24.netlify.app/)
11:34:46	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1707067443-ssl-df	https://scientica24.netlify.app/Scientica-2024.pdf	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/Scientica-2024.f.delayed	(from https://scientica24.netlify.app/)
11:34:47	15543/15543	---M--	200	added ('OK')	image/jpeg	etag:%22dd8ef672fae63cc40dc0c258daeb40fb-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/CODE_1.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/CODE_1.jpg	(from https://scientica24.netlify.app/)
11:34:49	29126/29126	---M--	200	added ('OK')	image/jpeg	etag:%225d1cd650eb59d1d17198f6ffa66d376d-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/CODE_2.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/CODE_2.jpg	(from https://scientica24.netlify.app/)
11:34:49	35635/35635	---M--	200	added ('OK')	image/jpeg	etag:%22be351d89aaefa59f96bc077824827a6f-ssl%22	https://scientica24.netlify.app/imgs/Evnt_heads/WEB_1.jpg	C:/My%20Web%20Sites/adiweb/scientica24.netlify.app/imgs/Evnt_heads/WEB_1.jpg	(from https://scientica24.netlify.app/)
